Türkçe ,İngilizce
voyage,yolculuk
wage,"maaş, ücret"
wait on,eşlik etmek
waiter,garson
walk,yürümek
walk off,alıp gitmek
walking stick,baston
wall,duvar
walnut,ceviz
war,savaş
war vessel,savaş gemisi
warm,"sıcak, ılık"
warn,uyarmak
waste,"boşa harcamak, ziyan etmek, israf etmek"
waste product,atık
watch out for,dikkat etmek
watermelon,karpuz
waterway,su yolu
wave,dalga
way,"yol, biçim, yöntem"
way of life,yaşam biçimi
weaken,zayıflatmak
weakness,zayıf yön
wealth,"zenginlik, refah"
wealthy,zengin
wear,giymek / aşındırmak
weather,hava durumu
wedding,düğün
weed,zararlı ot
weekly,haftalık
weight,ağırlık
welfare,"refah, zenginlik"
well funded,iyi finanse edilmiş
well- known,bildik
well off,zengin
well-being,"refah, mutluluk, zenginlik"
well-informed,bilgili
well-paid,dolgun ücretli
west,batı
Westerner,Batılı
wet,"ıslak, nemli, yağışlı"
whale,balina
What's wrong?,Sorun / Problem ne?
whatsoever,herhangi bir
wheat,buğday
whole,"bütün, tam"
widely,yaygın olarak
widen,genişletmek
wide-ranging,kapsamlı
widespread,yaygın
wild,vahşi
wilderness,"ıssız bölge, vahşi doğa"
wildflower,yabani çiçek
wildlife,yaban hayatı
willing to,"istekli, hevesli"
win,kazanmak
wind,rüzgar
wind farm,rüzgar türbinlerinin olduğu araziler
windblown,rüzgarla sürüklenen
windmill,"rüzgar santrali, yeldeğirmeni"
window,pencere
wing,kanat
wise,bilge
wit,nüktedan
witchcraft,cadı
with care,özenle
with regard to,… ile ilgili
withstand,"dayanmak, karşı koymak"
witness,"karşılaşmak, tanık olmak / tanık"
wolf,kurt
wonder,"düşünmek, merak / merak etmek"
wonderful,"harika, muhteşem"
wood,"ağaç, odun, ahşap"
woods,orman
woody bamboo,odunsu bambu
work,eser
work force,iş gücü
work of art,sanat eseri
work out,"çalışmak, hesaplamak, çözmek"
workable,üzerinde çalışılabilir
workforce,işgücü
working hour,çalışma saati
worldwide,dünya çapında
worried,endişeli
worry,endişelenmek
worship,"ibadet, ibadet etmek"
worth,değer / -e değer
wound,yara
write,yazmak
write down,yazıya dökmek
writer,yazar
wrong,"hata, hatalı"
